,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
1788,294,Candy,9.92,female,Dachshund Mix,1/11/13,1/11/13,1/11/13,sable,short,medium,,,,Maybe?,,,,
1789,43,Örökbeadó Nap: Jan.. Illatos Út,6.92,male,Unknown Mix,1/14/13,1/14/13,1/14/13,apricot,short,medium,,,,Maybe?,,,,
1790,1056,Field,8.33,male,Chinese Shar-Pei Mix,12/19/12,12/19/12,1/20/13,apricot,short,medium,yes,,yes,Maybe?,yes,yes,,both flat and garden
1791,459,Lepke,8.92,female,Hound Mix,10/31/12,1/20/12,1/2/13,black and brown,short,medium,,yes,yes,yes,yes,yes,,both flat and garden
1792,876,Tapasz,12.92,male,Belgian Sheepdog Mix,1/5/13,1/5/13,1/5/13,black and brown,long,large,yes,,,Maybe?,,,,garden
1793,53,Cili,8.75,female,Unknown Mix,5/2/11,1/6/13,1/6/13,black and white,short,large,yes,,yes,Maybe?,yes,,,garden
1794,56,Mesi,9.92,female,Unknown Mix,7/4/10,1/8/13,1/8/13,yellow-brown,short,medium,yes,,yes,Maybe?,yes,yes,,garden
1795,46,Morzsi,11.25,female,Dachshund Mix,8/23/12,8/23/12,12/29/12,black and white,short,small,yes,,yes,yes,yes,yes,,
1796,2,Solange,9.92,female,Unknown Mix,6/30/10,1/1/13,1/6/13,apricot,long,medium,yes,yes,yes,yes,yes,yes,,both flat and garden
1797,50,Fürge,9.92,male,Unknown Mix,4/10/11,1/2/13,1/2/13,black and white,short,medium,no,,yes,yes,yes,yes,,garden
1798,901,Kefe,9.92,male,German Pointer,12/16/12,12/16/12,1/7/13,brown and white,long,medium,no,,,Maybe?,,,,
1799,13,Hédi,8.83,female,German Shepherd Dog Mix,10/17/12,10/13/12,1/15/13,sable,medium,medium,,,yes,yes,,,,both flat and garden
1800,33,Rozi,10.5,female,Vizsla Mix,6/24/12,6/24/12,12/28/12,brown,wirehaired,medium,,,yes,yes,yes,yes,,
1801,288,Gusto,8.08,male,Unknown Mix,12/27/12,12/27/12,12/27/12,black,medium,medium,,,,Maybe?,yes,yes,,
1802,273,Solo,12.92,male,Unknown Mix,12/19/12,12/19/12,12/23/12,black,short,medium,,,yes,Maybe?,yes,yes,,
1803,39,Roxi,7.92,female,Rottweiler Mix,8/9/12,8/9/12,12/29/12,black and brown,short,large,,,yes,yes,yes,yes,,
1804,43,Kajla,7.42,male,Unknown Mix,8/19/12,8/19/12,12/29/12,black and brown,short,large,,,yes,yes,yes,yes,,
1805,41,Csivi,13.92,female,Unknown Mix,8/19/12,8/19/12,12/29/12,brown and white,long,medium,,,yes,yes,yes,yes,,
1806,286,Doc,8.33,male,Unknown Mix,12/21/12,12/21/12,12/23/12,black and brown,short,medium,,,,Maybe?,,,,
1807,38,Maci,7.83,male,Unknown Mix,7/26/12,7/26/12,12/29/12,brown,medium,large,,,yes,yes,yes,yes,,
1808,34,Gazsi,15.58,male,Unknown Mix,6/28/12,6/28/12,12/28/12,apricot,wirehaired,medium,,,yes,Maybe?,,,,
